image_id,timestamp,latitude,longitude,robot_id,mission_id,panel_row,panel_column,panel_id,condition,confidence,cleaning_priority_score,annotated_image_path,detected_issues,original_image_path,source_label,model_source,gps_status,gps_distance_m,nearest_panel_id,sequence_panel_id,quality_laplacian_variance,quality_mean_brightness,quality_saturated_ratio,quality_dark_ratio
1f2539fe-525b-4ffc-a215-d36734476bd5,2026-07-05T09:05:00+00:00,37.91569159,-122.31173558,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,1,SB-R02-C01,clean,0.9648,8,outputs\annotated\1f2539fe-525b-4ffc-a215-d36734476bd5.jpg,uncertain_gps,prepared\solar_cls\train\clean\clean_00056_clean-31.jpg,clean,yolov8,uncertain_gps,3.051,SB-R03-C01,SB-R02-C01,842.456,120.8151,0.006,0.0215
460fd0e0-6c3a-4579-b401-75713ea3dcaf,2026-07-05T09:05:30+00:00,37.91567642,-122.31166854,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,2,SB-R02-C02,clean,0.8977,7,outputs\annotated\460fd0e0-6c3a-4579-b401-75713ea3dcaf.jpg,,prepared\solar_cls\train\clean\clean_00057_clean-169.jpg,clean,yolov8,matched,1.161,SB-R02-C02,SB-R02-C02,306.4344,66.578,0.0091,0.1937
031a7f0d-6985-4fb8-b25e-28c73684c52a,2026-07-05T09:06:00+00:00,37.91569773,-122.31166241,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,3,SB-R03-C03,clean,0.8943,7,outputs\annotated\031a7f0d-6985-4fb8-b25e-28c73684c52a.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00058_clean-59.jpg,clean,yolov8,sequence_mismatch,0.543,SB-R03-C03,SB-R02-C03,4911.639,87.5923,0.005,0.007
61a01e57-8ecc-424f-9ca2-adaceb692bc6,2026-07-05T09:06:30+00:00,37.9156888,-122.31162851,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,4,SB-R02-C04,clean,0.9922,8,outputs\annotated\61a01e57-8ecc-424f-9ca2-adaceb692bc6.jpg,,prepared\solar_cls\train\clean\clean_00059_clean-164.jpg,clean,yolov8,matched,0.901,SB-R02-C04,SB-R02-C04,938.5571,83.3846,0.0186,0.0046
601c97b9-335e-4827-9b93-0cf148948a7f,2026-07-05T09:07:00+00:00,37.91569609,-122.31163674,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,4,SB-R03-C04,clean,0.9279,7,outputs\annotated\601c97b9-335e-4827-9b93-0cf148948a7f.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00060_clean-104.jpg,clean,yolov8,sequence_mismatch,0.49,SB-R03-C04,SB-R02-C05,913.9928,98.0831,0.0008,0.1265
16cd91fd-7ae2-430f-a52c-d3f03465ca98,2026-07-05T09:07:30+00:00,37.91569224,-122.3116231,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,4,SB-R03-C04,clean,0.9749,8,outputs\annotated\16cd91fd-7ae2-430f-a52c-d3f03465ca98.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00061_clean-89.jpg,clean,yolov8,sequence_mismatch,1.298,SB-R03-C04,SB-R02-C06,2954.7465,108.4543,0.0126,0.0471
cb794969-19ef-4f80-98f9-49b0ab4d045d,2026-07-05T09:08:00+00:00,37.91563496,-122.31157966,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,7,SB-R02-C07,clean,0.8058,6,outputs\annotated\cb794969-19ef-4f80-98f9-49b0ab4d045d.jpg,uncertain_gps,prepared\solar_cls\train\clean\clean_00062_clean-49.jpg,clean,yolov8,uncertain_gps,3.33,SB-R01-C06,SB-R02-C07,5112.4525,87.347,0.023,0.2128
92b7c7b6-76c2-4faf-aa18-b9e35b7d9029,2026-07-05T09:08:30+00:00,37.91566558,-122.31152312,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,9,SB-R01-C09,clean,0.9711,8,outputs\annotated\92b7c7b6-76c2-4faf-aa18-b9e35b7d9029.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00063_clean-48.jpg,clean,yolov8,sequence_mismatch,0.299,SB-R01-C09,SB-R02-C08,3793.4022,89.3875,0.004,0.019
a8b31676-59da-40f1-b902-3521a1524c04,2026-07-05T09:09:00+00:00,37.91569397,-122.31154806,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,8,SB-R03-C08,clean,0.9234,7,outputs\annotated\a8b31676-59da-40f1-b902-3521a1524c04.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00064_clean-180.jpg,clean,yolov8,sequence_mismatch,0.801,SB-R03-C08,SB-R02-C09,15363.0214,78.7588,0.0215,0.2531
34e042f0-eb1c-4ceb-910a-2566e64c9b26,2026-07-05T09:09:30+00:00,37.91569726,-122.31152034,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,9,SB-R03-C09,clean,0.584,5,outputs\annotated\34e042f0-eb1c-4ceb-910a-2566e64c9b26.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00065_clean-34.jpg,clean,yolov8,sequence_mismatch,0.305,SB-R03-C09,SB-R02-C10,4477.4623,93.3141,0.0249,0.0927
c4b964c9-dd45-4267-baca-3fcdc8e88a53,2026-07-05T09:10:00+00:00,37.91569845,-122.31170917,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,1,SB-R03-C01,clean,0.6472,5,outputs\annotated\c4b964c9-dd45-4267-baca-3fcdc8e88a53.jpg,,prepared\solar_cls\train\clean\clean_00066_clean-73.jpg,clean,yolov8,matched,0.612,SB-R03-C01,SB-R03-C01,1585.6597,118.4803,0.0043,0.0486
227a56f5-6884-4b07-ad27-7e6e8becf7f8,2026-07-05T09:10:30+00:00,37.91570206,-122.31166106,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,3,SB-R03-C03,clean,0.8627,7,outputs\annotated\227a56f5-6884-4b07-ad27-7e6e8becf7f8.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00067_1-1.jpg,clean,yolov8,sequence_mismatch,0.428,SB-R03-C03,SB-R03-C02,1747.0437,128.7398,0.0072,0.0117
ba0dfa9d-7554-4a11-b0c3-cfae46408ab4,2026-07-05T09:11:00+00:00,37.91571147,-122.31164897,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,3,SB-R04-C03,clean,0.8045,6,outputs\annotated\ba0dfa9d-7554-4a11-b0c3-cfae46408ab4.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00068_clean-81.jpg,clean,yolov8,sequence_mismatch,1.005,SB-R04-C03,SB-R03-C03,543.4868,75.8327,0.001,0.2443
8c14f93b-d6e1-4930-a597-f3bc5908d6e8,2026-07-05T09:11:30+00:00,37.91571168,-122.31162326,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,4,SB-R04-C04,clean,0.5617,4,outputs\annotated\8c14f93b-d6e1-4930-a597-f3bc5908d6e8.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00069_clean-167.jpg,clean,yolov8,sequence_mismatch,1.184,SB-R04-C04,SB-R03-C04,8154.6417,109.8014,0.0228,0.0031
eeaa19ff-f8a9-405e-9de2-f3b31e5cc4f3,2026-07-05T09:12:00+00:00,37.91568874,-122.31162772,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,4,SB-R02-C04,clean,0.9377,8,outputs\annotated\eeaa19ff-f8a9-405e-9de2-f3b31e5cc4f3.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00070_clean-151.jpg,clean,yolov8,sequence_mismatch,0.935,SB-R02-C04,SB-R03-C05,4210.9331,81.191,0.0273,0.3042
3e3936ae-704b-43b5-90ba-24a3230dc163,2026-07-05T09:12:30+00:00,37.91569156,-122.31157724,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,6,SB-R03-C06,clean,0.5614,4,outputs\annotated\3e3936ae-704b-43b5-90ba-24a3230dc163.jpg,,prepared\solar_cls\train\clean\clean_00071_clean-7.jpg,clean,yolov8,matched,1.37,SB-R03-C06,SB-R03-C06,2825.3807,80.7739,0.0048,0.1359
cf7bfb54-b6f7-4cb2-902c-8142ea87c8dd,2026-07-05T09:13:00+00:00,37.91569551,-122.31151265,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,9,SB-R03-C09,clean,0.942,8,outputs\annotated\cf7bfb54-b6f7-4cb2-902c-8142ea87c8dd.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00072_clean-193.png,clean,yolov8,sequence_mismatch,0.836,SB-R03-C09,SB-R03-C07,8534.5275,85.6441,0.0064,0.1187
257d1284-0ec8-4d40-8ced-8450c821b573,2026-07-05T09:13:30+00:00,37.91568528,-122.31156809,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,7,SB-R02-C07,clean,0.8178,7,outputs\annotated\257d1284-0ec8-4d40-8ced-8450c821b573.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00073_clean-111.jpg,clean,yolov8,sequence_mismatch,0.412,SB-R02-C07,SB-R03-C08,2120.7674,100.3449,0.0226,0.0732
09ba3aaf-676e-44dc-81e2-4fd975257bc0,2026-07-05T09:14:00+00:00,37.91571381,-122.31148791,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,10,SB-R04-C10,clean,0.5025,4,outputs\annotated\09ba3aaf-676e-44dc-81e2-4fd975257bc0.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00074_clean-96.jpg,clean,yolov8,sequence_mismatch,0.961,SB-R04-C10,SB-R03-C09,1356.8746,91.2704,0.0111,0.0829
de9fc298-0bb0-4f4a-ba9b-039e623916c2,2026-07-05T09:14:30+00:00,37.91570909,-122.31147849,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,10,SB-R04-C10,clean,0.681,5,outputs\annotated\de9fc298-0bb0-4f4a-ba9b-039e623916c2.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00075_clean-74.jpg,clean,yolov8,sequence_mismatch,1.94,SB-R04-C10,SB-R03-C10,248.9951,70.7408,0.0294,0.0499
3e870997-dcb9-47f6-98d3-4c7785abcc8c,2026-07-05T09:15:00+00:00,37.91574359,-122.31170462,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,1,SB-R05-C01,clean,0.9983,8,outputs\annotated\3e870997-dcb9-47f6-98d3-4c7785abcc8c.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00076_clean-115.jpg,clean,yolov8,sequence_mismatch,0.872,SB-R05-C01,SB-R04-C01,4750.3516,111.6681,0.0081,0.0677
705a6c0d-552a-4d58-9a57-97ec4260b4ee,2026-07-05T09:15:30+00:00,37.9156924,-122.31169182,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,1,SB-R03-C01,clean,0.9701,8,outputs\annotated\705a6c0d-552a-4d58-9a57-97ec4260b4ee.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00077_clean-158.jpg,clean,yolov8,sequence_mismatch,1.26,SB-R03-C01,SB-R04-C02,3271.4726,100.6394,0.0537,0.0069
e635cc3f-6d25-4f97-a16a-8335308dc80d,2026-07-05T09:16:00+00:00,37.91573509,-122.31168981,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,2,SB-R05-C02,clean,0.9883,8,outputs\annotated\e635cc3f-6d25-4f97-a16a-8335308dc80d.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00078_clean-189.jpg,clean,yolov8,sequence_mismatch,0.891,SB-R05-C02,SB-R04-C03,1974.4092,119.4379,0.0438,0.1097
cea8ac0e-d601-47db-acf9-e90c2d6f2c77,2026-07-05T09:16:30+00:00,37.91571857,-122.31162839,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,4,SB-R04-C04,clean,0.9778,8,outputs\annotated\cea8ac0e-d601-47db-acf9-e90c2d6f2c77.jpg,,prepared\solar_cls\train\clean\clean_00079_clean-2.jpg,clean,yolov8,matched,0.51,SB-R04-C04,SB-R04-C04,5507.9481,86.3018,0.0184,0.0012
d0a89bef-eefa-4f98-969d-43b1e4cf88bd,2026-07-05T09:17:00+00:00,37.9157123,-122.31159491,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,6,SB-R04-C06,clean,0.7956,6,outputs\annotated\d0a89bef-eefa-4f98-969d-43b1e4cf88bd.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00080_clean-142.jpg,clean,yolov8,sequence_mismatch,0.838,SB-R04-C06,SB-R04-C05,1771.2958,103.0221,0.0243,0.0396
9a6025b4-f594-4d25-9fac-a65dcb2bfde0,2026-07-05T09:17:30+00:00,37.9157284,-122.31153575,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,8,SB-R05-C08,clean,0.8941,7,outputs\annotated\9a6025b4-f594-4d25-9fac-a65dcb2bfde0.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00081_clean-123.jpg,clean,yolov8,sequence_mismatch,1.055,SB-R05-C08,SB-R04-C06,5991.4352,83.7486,0.0107,0.0372
062b87c5-fb4c-45d5-866b-327697238277,2026-07-05T09:18:00+00:00,37.9157291,-122.31157972,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,6,SB-R05-C06,clean,0.9708,8,outputs\annotated\062b87c5-fb4c-45d5-866b-327697238277.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00082_clean-55.jpg,clean,yolov8,sequence_mismatch,1.089,SB-R05-C06,SB-R04-C07,2247.3239,118.5306,0.0211,0.0322
4b9ad4fc-b189-48f3-8449-a3a29bf57a82,2026-07-05T09:18:30+00:00,37.91570787,-122.311562,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,7,SB-R03-C07,clean,0.7544,6,outputs\annotated\4b9ad4fc-b189-48f3-8449-a3a29bf57a82.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00083_clean-18.jpg,clean,yolov8,sequence_mismatch,0.938,SB-R03-C07,SB-R04-C08,745.8687,109.9923,0.0308,0.0057
96d8d7ba-f22b-498f-a861-01e19a0b9b3d,2026-07-05T09:19:00+00:00,37.91573507,-122.3115332,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,8,SB-R05-C08,clean,0.9745,8,outputs\annotated\96d8d7ba-f22b-498f-a861-01e19a0b9b3d.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00084_clean-132.jpg,clean,yolov8,sequence_mismatch,0.871,SB-R05-C08,SB-R04-C09,607.5768,128.6337,0.0842,0.0563
a7451b2c-feae-4b32-b3f0-03d6ffd44893,2026-07-05T09:19:30+00:00,37.9157167,-122.31148046,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,10,SB-R04-C10,clean,0.6797,5,outputs\annotated\a7451b2c-feae-4b32-b3f0-03d6ffd44893.jpg,,prepared\solar_cls\train\clean\clean_00085_clean-95.jpg,clean,yolov8,matched,1.503,SB-R04-C10,SB-R04-C10,688.1658,91.6438,0.011,0.1339
c22432af-8cb7-4f7b-8d6f-7ccf396671b9,2026-07-05T09:20:00+00:00,37.91572293,-122.31170917,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,1,SB-R04-C01,clean,0.9554,8,outputs\annotated\c22432af-8cb7-4f7b-8d6f-7ccf396671b9.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00086_clean-46.jpg,clean,yolov8,sequence_mismatch,0.806,SB-R04-C01,SB-R05-C01,172.7543,89.2544,0.0172,0.1193
a32ed9c1-0370-4e7d-a32d-a8f7de25157c,2026-07-05T09:20:30+00:00,37.91570285,-122.31170436,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,1,SB-R03-C01,clean,0.5902,5,outputs\annotated\a32ed9c1-0370-4e7d-a32d-a8f7de25157c.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00087_clean-70.jpg,clean,yolov8,sequence_mismatch,0.357,SB-R03-C01,SB-R05-C02,103.7127,123.8005,0.0502,0.0201
5c93317d-2fa0-440c-86dd-381c59b388be,2026-07-05T09:21:00+00:00,37.91572573,-122.31164747,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,4,3,SB-R04-C03,clean,0.9884,8,outputs\annotated\5c93317d-2fa0-440c-86dd-381c59b388be.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00088_clean-124.jpg,clean,yolov8,sequence_mismatch,1.198,SB-R04-C03,SB-R05-C03,331.8838,102.2673,0.0181,0.0312
f1ef1ed3-066b-4fc0-b00b-1728e5eba3f0,2026-07-05T09:21:30+00:00,37.91575738,-122.31163458,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,4,SB-R05-C04,clean,0.8042,6,outputs\annotated\f1ef1ed3-066b-4fc0-b00b-1728e5eba3f0.jpg,,prepared\solar_cls\train\clean\clean_00089_clean-98.jpg,clean,yolov8,matched,2.385,SB-R05-C04,SB-R05-C04,4205.0188,106.9888,0.0195,0.0734
15cde95b-d6e5-480a-b564-4d7831f6a556,2026-07-05T09:22:00+00:00,37.91574063,-122.31160756,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,5,SB-R05-C05,clean,0.3849,3,outputs\annotated\15cde95b-d6e5-480a-b564-4d7831f6a556.jpg,,prepared\solar_cls\train\clean\clean_00090_1-20.jpg,clean,yolov8,matched,0.621,SB-R05-C05,SB-R05-C05,972.332,132.6942,0.0009,0.1248
31ad782f-4e51-4d5f-b985-26ad77a49518,2026-07-05T09:22:30+00:00,37.91575542,-122.31156827,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,7,SB-R05-C07,clean,0.8591,7,outputs\annotated\31ad782f-4e51-4d5f-b985-26ad77a49518.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00091_clean-101.jpg,clean,yolov8,sequence_mismatch,2.177,SB-R05-C07,SB-R05-C06,2767.555,128.4641,0.0283,0.0198
2d7d5574-594e-4eeb-9d8b-30ca0eac3fb5,2026-07-05T09:23:00+00:00,37.91574085,-122.31158886,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,6,SB-R05-C06,clean,0.9896,8,outputs\annotated\2d7d5574-594e-4eeb-9d8b-30ca0eac3fb5.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00092_clean-170.jpg,clean,yolov8,sequence_mismatch,0.547,SB-R05-C06,SB-R05-C07,6801.3576,78.3246,0.0148,0.0994
34185848-7aca-40d6-bf08-a1a0ed5f0a81,2026-07-05T09:23:30+00:00,37.91575216,-122.31153439,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,8,SB-R05-C08,dirty,0.4983,27,outputs\annotated\34185848-7aca-40d6-bf08-a1a0ed5f0a81.jpg,soiling,prepared\solar_cls\train\clean\clean_00093_clean-127.jpg,clean,yolov8,matched,1.959,SB-R05-C08,SB-R05-C08,3127.3967,120.1956,0.0068,0.0085
597060a8-c231-4ff8-a603-8f7f1d3c8881,2026-07-05T09:24:00+00:00,37.91575798,-122.31152097,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,9,SB-R05-C09,clean,0.9431,8,outputs\annotated\597060a8-c231-4ff8-a603-8f7f1d3c8881.jpg,,prepared\solar_cls\train\clean\clean_00094_clean-85.jpg,clean,yolov8,matched,2.452,SB-R05-C09,SB-R05-C09,2210.8704,92.0332,0.0073,0.2103
3a74afd4-fd2d-46a4-b1b4-a654c0672272,2026-07-05T09:24:30+00:00,37.91577102,-122.31150569,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,5,10,SB-R05-C10,clean,0.8248,7,outputs\annotated\3a74afd4-fd2d-46a4-b1b4-a654c0672272.jpg,uncertain_gps,prepared\solar_cls\train\clean\clean_00095_clean-35.jpg,clean,yolov8,uncertain_gps,3.967,SB-R05-C10,SB-R05-C10,2011.1542,122.8939,0.0023,0.0528
dc67dbb8-bd04-4e7e-b931-41d3e3b02452,2026-07-05T09:25:00+00:00,37.91569269,-122.31169986,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,3,1,SB-R03-C01,clean,0.9397,8,outputs\annotated\dc67dbb8-bd04-4e7e-b931-41d3e3b02452.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00096_clean-155.jpg,clean,yolov8,sequence_mismatch,0.845,SB-R03-C01,SB-R01-C01,370.9971,99.8812,0.043,0.0002
5cf4f95c-2137-4b38-a42d-6f1904f8f755,2026-07-05T09:25:30+00:00,37.91565479,-122.31170541,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,1,SB-R01-C01,clean,0.7323,6,outputs\annotated\5cf4f95c-2137-4b38-a42d-6f1904f8f755.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00097_clean-192.jpg,clean,yolov8,sequence_mismatch,1.063,SB-R01-C01,SB-R01-C02,1029.9193,137.5987,0.0101,0.0604
96643692-82ff-468d-ac0f-f8b274fb5738,2026-07-05T09:26:00+00:00,37.91566135,-122.31162452,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,4,SB-R01-C04,clean,0.9964,8,outputs\annotated\96643692-82ff-468d-ac0f-f8b274fb5738.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00098_clean-16.jpg,clean,yolov8,sequence_mismatch,0.898,SB-R01-C04,SB-R01-C03,320.9968,104.5045,0.0041,0.1033
5ce25196-b432-4804-901e-6dac163af1a4,2026-07-05T09:26:30+00:00,37.91567873,-122.31161847,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,2,5,SB-R02-C05,clean,0.8385,7,outputs\annotated\5ce25196-b432-4804-901e-6dac163af1a4.jpg,gps_sequence_mismatch,prepared\solar_cls\train\clean\clean_00099_clean-21.jpg,clean,yolov8,sequence_mismatch,0.722,SB-R02-C05,SB-R01-C04,2300.5681,112.1805,0.001,0.1234
c1e825cd-5149-47a2-8b91-27a5b601c8ff,2026-07-05T09:27:00+00:00,37.91562138,-122.3115952,SB-ROVER-01,MISSION-EL-CERRITO-DEMO,1,5,SB-R01-C05,clean,0.9253,7,outputs\annotated\c1e825cd-5149-47a2-8b91-27a5b601c8ff.jpg,uncertain_gps,prepared\solar_cls\train\clean\clean_00100_clean-71.jpg,clean,yolov8,uncertain_gps,4.781,SB-R01-C06,SB-R01-C05,3137.4528,105.677,0.0065,0.1071
